Name,Total,White,Black,Hispanic,Asian,Other,p_White,p_Black,p_Hispanic,p_Asian,p_Other,entropy5,entropy4,entropy_rice,gini_simpson
"Bloomsburg-Berwick, PA Micro Area",85562,80706,1427,1673,870,886,0.943245833431,0.016677964517,0.0195530726257,0.0101680652626,0.010355064164,0.182860128331,0.1725114505,0.182860128331,0.109416203661
"Bluefield, WV-VA Micro Area (part)",107342,99403,5070,776,609,1484,1.85788476228,0.0895712268535,0.0142755056225,0.0115321466547,0.0267363585931,0.210948418107,0.195000536029,-0.450952533102,-2.46081040792
"Blytheville, AR Micro Area",46480,28106,15761,1695,229,689,0.604690189329,0.339092082616,0.0364672977625,0.00492685025818,0.0148235800344,0.546940985952,0.588048747656,0.546940985952,0.517792458252
"Bogalusa, LA Micro Area",47168,31019,14561,887,108,593,0.657628052917,0.308705054274,0.0188051221167,0.00228968792402,0.012572082768,0.485963362386,0.522049898153,0.485963362386,0.471709600928
"Boise City-Nampa, ID Metro Area",616561,505202,5108,77538,10799,17914,0.819386889537,0.00828466283141,0.125758846246,0.0175148930925,0.0290547082933,0.395997938661,0.375844992622,0.395997938661,0.311570254653
"Bonham, TX Micro Area",33915,27433,2273,3226,122,861,0.808875128999,0.0670204924075,0.0951201533245,0.00359722836503,0.025386996904,0.428718343835,0.42311728295,0.428718343835,0.331523996052
"Boone, IA Micro Area",26306,25194,202,505,87,318,0.957728274918,0.00767885653463,0.0191971413366,0.00330723028967,0.0120884969209,0.1409862566,0.117935348076,0.1409862566,0.0821719868189
"Boone, NC Micro Area",51079,47268,855,1713,467,776,0.92539008203,0.0167387771883,0.0335362869281,0.00914270052272,0.0151921533311,0.224058981456,0.206502153456,0.224058981456,0.141933936383
"Borger, TX Micro Area",22150,16482,512,4386,91,679,0.744108352144,0.0231151241535,0.198013544018,0.00410835214447,0.0306546275395,0.470405111109,0.461436467951,0.470405111109,0.405602502943
"Boston-Cambridge-Quincy, MA-NH Metro Area (part)",4552402,3408585,301533,410516,292786,138982,1.6671483168,0.0792424127361,0.117225250261,0.0881841574471,0.0481998627569,0.556972884,0.565365885839,-0.0246128536451,-1.80950430187
"Boulder, CO Metro Area",294567,233741,2265,39276,11996,7289,0.793507079883,0.00768925236024,0.133334691259,0.0407241815954,0.0247447949023,0.442084904992,0.440489433269,0.442084904992,0.350238485839
"Bowling Green, KY Metro Area",125953,104540,10370,5274,3176,2593,0.829992139925,0.0823322985558,0.041872762062,0.0252157550832,0.0205870443737,0.413717679905,0.416524325468,0.413717679905,0.301521451374
"Bozeman, MT Micro Area",89513,83545,277,2470,1011,2210,0.933328119938,0.00309452258331,0.0275937573313,0.011294448851,0.0246891512965,0.200919293942,0.153543382559,0.200919293942,0.127390510253
"Bradford, PA Micro Area",43450,41039,1008,757,191,455,0.944510932106,0.0231990794016,0.0174223245109,0.00439585730725,0.0104718066743,0.176081460266,0.164191153908,0.176081460266,0.10692838216
"Brainerd, MN Micro Area",91067,84362,356,992,320,5037,0.92637289029,0.00390920970275,0.0108930787223,0.00351389636202,0.0553109249234,0.199898901104,0.0823594725841,0.199898901104,0.138627681168
"Branson, MO Micro Area",83877,78021,451,3047,424,1934,0.930183482957,0.00537692096761,0.0363270026348,0.00505502104272,0.0230575723977,0.204729108493,0.162285120443,0.204729108493,0.132852920751
"Bremerton-Silverdale, WA Metro Area",251133,198745,6329,15686,12082,18291,0.791393405088,0.0252017855081,0.0624609270785,0.0481099656357,0.0728339166896,0.489554748218,0.410012599789,0.489554748218,0.361540632765
"Brenham, TX Micro Area",33718,22394,5861,4641,432,390,0.66415564387,0.17382407023,0.137641615754,0.0128121478142,0.0115665223323,0.594187111405,0.651865720689,0.594187111405,0.509439323367
"Brevard, NC Micro Area",33090,30049,1279,964,143,655,0.908099123602,0.0386521607736,0.0291326684799,0.00432154729526,0.0197944998489,0.259383642395,0.235657220452,0.259383642395,0.172602781812
